ItemCode,ItemName,LastPurDat,ItmsGrpCod,ItmsGrpNam,Categoria_CI,Subcategoria_CI,Bodega,Stock_Bodega,Precio_B2B_Estandar,Precio_B2B_VIP,Precio_B2C,Precio_Promociones_Ecommerce,Ventas_2024,Ventas_2025,Ventas_2026,Ventas_Total_29_5_Meses,Alcance_Inventario_Meses,Alcance_Inventario_Meses_Redondeado
3RT20361AL20,"contactor de potencia, AC-3e/AC-3, 51 A, 22 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamano: S2",2026-04-29,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CONTACTORES,11,1.0,168.7,159.4,187.5,0.0,27.0,43.0,13.0,83.0,0.355421686746988,0
6GK19011BB102AA0,"""Industrial Ethernet FastConnect RJ45 Plug 180 2x2, conector RJ45 (10/100 Mbits/s) con caja de metal robusta y sistema de conexión FC, para IE FC Cable 2x2; salida de cable a 180° 1 paquete =""",2026-04-29,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,OTROS,11,10.0,37.5,35.4,41.6,0.0,6.0,0.0,0.0,6.0,49.16666666666667,49
6SL32550AA004CA1,SINAMICS G120 Basic Operator Panel (BOP-2),2026-04-29,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,VARIADORES,11,8.0,55.1,52.0,61.2,0.0,9.0,9.0,0.0,18.0,13.11111111111111,13
6XV18402AH10,"Cable estándar Industrial Ethernet FC TP, GP 2x2 (PROFINET tipo A), cable de instalación TP para conexión a IE FC RJ45 2x2, para uso universal, 4 hilos, apantallado CAT 5E",2026-04-29,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,OTROS,11,70.0,4.0,3.75,4.45,0.0,0.0,0.0,0.0,0.0,inf,Infinito
US2:CQD370,Interruptor CQD 3P 70 A 480/277V 14 kA DIN,2026-04-29,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,INTERRUPTORES INDUSTRIALES,11,1.0,119.8,113.2,133.1,0.0,4.0,3.0,4.0,11.0,2.681818181818182,3
3RF2120-1AA02,"relé estático, monofásico 3RF2 22,5 mm de ancho, 20 A 24-230 V / DC 24 V borne de tornillo",2026-04-22,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,OTROS,11,3.0,84.6,79.9,93.9,0.0,8.0,2.0,2.0,12.0,7.375,7
3RU21161EB0,"Rele de sobrecarga 2,8...4,0 A termico para proteccion de motores tamano S00, clase 10 para montar en contactor Circuito principal: atornillable circuito auxiliar: atornillable Rearme",2026-04-21,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,RELES DE PROTECCION,11,2.0,43.1,40.7,47.9,0.0,2.0,5.0,5.0,12.0,4.916666666666666,5
3RV20111BA10,"Interruptor automatico tamano S00 para proteccion de motores, CLASE 10 Disparador por sobrecarga con retardo segun intensidad 1,4...2 A Disparador de cortocircuito 26 A borne de tornillo poder",2026-04-21,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,GUARDAMOTORES,11,4.0,70.3,66.4,78.2,0.0,1.0,1.0,10.0,12.0,9.833333333333332,10
3SU14001AA101BA0,"Modulo de contactos con 1 contacto, 1 NA, bornes de tornillo, para fijacion en placa frontal.",2026-04-21,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,BOTONERIA,11,3.0,5.5,5.2,6.2,0.0,23.0,50.0,33.0,106.0,0.8349056603773585,1
3SU14001AA101CA0,"Modulo de contactos con 1 contacto, 1NC, bornes de tornillo, para fijacion en placa frontal.",2026-04-21,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,BOTONERIA,11,1.0,5.7,5.3,6.3,0.0,32.0,35.0,28.0,95.0,0.31052631578947365,0
